ticker,total_earnings,earnings_analyzed,avg_1day_drift,avg_5day_drift,avg_10day_drift,avg_1day_drift_on_beat,avg_5day_drift_on_beat,avg_10day_drift_on_beat,avg_1day_drift_on_miss,avg_5day_drift_on_miss,avg_10day_drift_on_miss,big_beats_count,avg_10day_drift_on_big_beat,big_beat_win_rate,drift_10day_std,beat_drift_win_rate,best_drift_10day,worst_drift_10day
FRO,24,24,1.284732642320767,-1.225653970820997,1.263352913936184,1.1736850757974588,-1.3510066857107466,3.8778810972459152,1.340256425582421,-1.1629776133761223,-0.04391117771868103,5,3.372771761145516,0.6,7.765328246331242,0.625,17.22956436612824,-17.906008328375954
RF,24,24,0.6272742602150941,1.3951013804213368,3.2449858320821616,0.800408374222887,0.5784028219336701,3.0258126411430655,0.33871740353543867,2.7562656445674487,3.6102744836473217,10,3.291738996882735,0.7,5.585348370501344,0.6666666666666666,13.148614609571785,-10.081743869209816
COGT,20,20,-0.3867989291257462,-0.5790289878868382,0.583169266069143,-4.77990738961374,-1.0010911653773766,2.015372143606716,0.711478185996252,-0.47351344351420344,0.22511854668475006,3,3.2642444739708147,1.0,13.332990772384607,0.75,38.62815884476534,-22.4191063174114
FFIN,24,24,0.7260170259963955,2.0238831205571803,2.020991344167442,1.1535311727887447,2.260987531668107,2.5338707119732504,-0.12901126758830317,1.5496742983353275,0.9952326085558265,9,3.2096204160351856,0.6666666666666666,6.336604203229932,0.6875,10.679323642835957,-16.302325581395344
HIG,24,24,-0.16159588785870163,-0.01727933449789117,1.727238720142372,-0.04249924108698351,0.4386199587225018,1.943452035313071,-0.7570791217172927,-2.296775800599856,0.6461721442888774,16,3.1723184893333256,0.625,6.355611437227939,0.6,17.09424083769632,-18.39694656488549
LKFN,24,24,0.8537974423523801,-0.37934521997663145,1.1507735352027646,1.2289456193710613,-0.21412881039638254,2.0905473820665184,-0.271647088703663,-0.8749944487173783,-1.668548005388497,11,3.1441636199833174,0.6363636363636364,8.678511011794832,0.5555555555555556,22.831437786453918,-16.860465116279073
SLB,24,24,0.48875763540666545,0.15628277748307165,-0.31777816341957266,0.6130252569090986,0.1953481570896595,-0.2720183414838246,-2.369397659149296,-0.7422209534684499,-1.3702540679417756,10,3.13434140552695,0.7,7.214909873565683,0.43478260869565216,24.88281249999999,-12.607449856733533
WABC,24,24,1.1652896118410077,1.0378022772722781,0.7378810274517901,1.183921926940049,1.0712723876694399,0.5762405865209753,0.9603341457515526,0.6696310629035005,2.515925877690754,8,3.10869581719326,0.625,5.904219090520021,0.5,12.379361544172223,-9.825369410861635
ATKR,24,24,-0.40139818590108506,1.9776567649467793,2.596061640392143,-0.4804937295497467,1.9180801004091643,2.8266979363692664,0.4686527942341918,2.633000074860545,0.05906238464378566,18,2.900032547707126,0.5555555555555556,6.24558814171719,0.6363636363636364,19.117217187956733,-8.391743296251034
HRI,24,24,-0.3236289899291716,1.0043664508449077,0.7777526388835495,-0.6582840910298436,1.1172562119541074,2.208013431584416,-0.04045928899783384,0.9088443452909696,-0.4324680318633376,9,2.636611153459205,0.5555555555555556,14.107373001841093,0.5454545454545454,21.034587072703438,-41.41063318193962
UHS,24,24,0.23511199935324686,1.1336700800941926,1.4709514169971663,0.019829340356781744,1.6594878619541067,1.6818735249180683,1.3115252943355726,-1.495418829205378,0.41634087739265835,15,2.46005507924943,0.6,8.857027306587415,0.55,17.64545454545454,-18.467801628423384
HBAN,24,24,0.12589851726642767,0.5672568476188173,1.4620378905884126,0.13637403694209668,0.18233447332213334,1.0279280257805536,0.09447195823942067,1.7220239705088691,2.7643674850119897,12,2.429349877064169,0.6666666666666666,6.149752525372357,0.5555555555555556,9.745454545454544,-17.83876500857633
WT,24,24,0.517891520855386,2.436527736696354,3.183394246150108,0.4108273206556398,2.572710097889105,2.8578389343107027,1.0532125218541175,1.7556159307325978,4.811170805347137,17,2.3310898555003,0.6470588235294118,7.674211252082781,0.65,14.01425178147268,-14.802065404475034
CINF,24,24,-0.5180349946396742,-0.6150551338990974,0.7895780423126407,0.181447982089348,0.9344067303892942,2.0750171475400374,-4.0154498782847865,-8.362364455341053,-5.637617483824346,19,2.270861319159322,0.7368421052631579,8.974216290562097,0.7,11.61307121468559,-33.51851851851851
BMRC,24,24,-0.4100830624211645,-0.9418311115233937,-0.1569801666253121,-0.45496633718815216,-0.7017586961061492,1.4559643589314737,-0.30108082370133793,-1.5248641203938447,-4.074131157263221,13,2.117681660469184,0.5384615384615384,8.402728734005438,0.5294117647058824,15.794104707435109,-27.19959778783308
DCOM,24,24,0.3299059861777511,-0.1528528968912882,0.08014707949441524,-0.6245149242474495,-0.7254875831506313,1.0535096205892802,1.4578579712257151,0.523897186869754,-1.0701904690722426,8,1.9844034730242412,0.75,9.426443199865549,0.6923076923076923,17.227833894500563,-23.349514563106805
SPB,24,24,0.7467238795035288,1.115708493522537,0.9172844760178972,0.9507843143556107,1.0544272461068154,2.093951874554534,0.4066231547500588,1.2178439058820727,-1.0438278548764968,14,1.956624942335584,0.5,7.91622095658834,0.5333333333333333,30.268118977796387,-12.679981421272643
GNTX,24,24,0.7472518718892506,0.7450411522498364,2.003126180178908,0.8154467276003006,0.21886393260515735,2.15238716535573,0.6517790738937806,1.4816892597523867,1.7941608009313583,8,1.9227924431365953,0.625,4.375148014803835,0.6428571428571429,11.5,-5.64516129032258
SBCF,24,24,0.6356321955897972,-0.5241577096114206,1.1983148550679754,-0.07768327262307903,-0.19025889850533226,1.9719037582995704,3.346230974798727,-1.792973191814556,-1.7413229772120868,16,1.886710383087757,0.6875,7.158315447427898,0.6842105263157895,17.829827915869963,-12.260967379077627
AXP,24,24,-0.03302751047737392,0.4306918580362096,1.5618747716628123,0.018140059441249405,0.5224105528128721,1.665356715345401,-0.22746427616814255,0.0821608178848919,1.168643385668974,13,1.7346183561549942,0.5384615384615384,5.789601267777543,0.5263157894736842,12.846859398583534,-7.541385652973625
NUE,24,24,0.2955370459150331,2.1100690355652434,2.4302379192691865,0.05849773166177953,1.850918131213156,2.415582397463563,1.954812245687809,3.9241253660298536,2.5328265719085516,15,1.5601725272609093,0.6,9.664090243085324,0.6190476190476191,25.906532268621557,-19.760615559988594
CMA,24,24,-0.8210225901589783,1.1145443016130379,1.9445310065829606,-0.8706943839787842,0.3905204106077039,1.4345505291804046,-0.47332003342033807,6.182711538650373,5.514394348400859,16,1.5262511207906997,0.6875,8.838519050796824,0.6666666666666666,16.306068601583114,-29.68919800043468
WM,24,24,1.1388554969911586,1.3553120374213112,1.4282392035338694,1.5001179222679208,1.6691273896739867,1.931888564758832,0.05506822116087232,0.41386598066328534,-0.08270888014102032,7,1.5257035787279125,0.5714285714285714,4.790228166753069,0.6666666666666666,10.148984198645595,-9.478289047310437
ACGL,24,24,-0.7766018663877593,0.5285713926262382,1.0374006367925512,-0.7766018663877593,0.5285713926262382,1.0374006367925512,0.0,0.0,0.0,22,1.4776416292521632,0.5454545454545454,6.382338716360854,0.5,21.63989856297549,-7.726315789473688
FITB,24,24,-0.07032625139849318,1.1585492420826196,1.46832071693967,0.19335057980418724,1.833514117197684,2.6668773497245075,-0.5976799138038542,-0.19138050814750884,-0.9287925486300043,12,1.3570159533124375,0.6666666666666666,6.246019314182913,0.6875,13.074398249452956,-15.94827586206897
CLMT,24,24,1.5196301253952385,0.6054473642987844,4.19229097635107,0.849392312222529,-1.6266747594750661,0.018134458012657718,1.9983714205186023,2.1998203098515345,7.173831346592792,9,1.2073002357806706,0.4444444444444444,21.158281009739408,0.4,46.06741573033708,-61.68831168831169
FIVE,24,24,-0.8257603108821879,0.9026157213344669,-0.15606712110490642,-0.8013598213022318,1.278330494103349,-0.0012636320286022638,-0.9184821712860209,-0.5251004151872868,-0.7443203795948624,10,1.1728407065606496,0.6,8.356403140770066,0.47368421052631576,16.07792207792207,-17.391304347826082
PFG,24,24,-0.8427739968231603,-0.28601118527176894,1.6061594161157429,-0.7365403601295847,0.6556193021232654,1.391228118815609,-1.0198300579791197,-1.8553953309301596,1.9643782449492992,11,1.1634558489160207,0.36363636363636365,7.211614907344102,0.4666666666666667,19.39849624060151,-11.833688699360335
GRC,24,24,0.47248177996562285,0.9935561438089152,1.5349581349440502,0.05132272644318098,0.846874818114581,1.764387898872328,0.8936408334880647,1.1402374695032496,1.3055283710157723,9,1.1430894112810477,0.6666666666666666,5.870638533441345,0.75,12.847965738758022,-10.873440285204982
CFLT,16,16,-1.0939182315787255,-2.2275805047028028,0.35248146483720877,-0.6569605777838703,-1.661552399605293,1.0419531740088033,-7.648283038501555,-10.718002081165446,-9.989594172736723,15,1.0419531740088033,0.5333333333333333,16.423096525277387,0.5333333333333333,27.90146849834202,-35.90214067278288
FTAI,24,24,0.12752977024623524,0.5959528073964765,-0.40973222585080765,0.23595045442565477,3.122179961618572,0.4467092614993257,0.05008642440379279,-1.2084951599050204,-1.021476145386617,8,1.019920704781299,0.625,16.674827943756206,0.6,24.15835411471322,-41.55927835051546
